J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;1243;4459;5191;5737;5317;5452;1662;574;0;Clark / Ontario
0;0;0;2177;7195;9187;9415;10556;11952;9359;3678;0;Clark / Prince-Arthur
0;0;0;2328;7653;8699;8578;8568;9781;8413;3244;0;Clark / Rachel
0;0;0;1128;4867;5920;6726;7013;6634;5637;2152;0;Clark / St-Viateur
0;0;0;208;423;594;736;792;842;594;170;0;Clark / St-Zotique
0;0;0;0;0;0;0;497;1243;981;390;0;Collège de Rosemont (15e avenue / Beaubien)
0;0;0;120;308;324;414;408;387;264;97;0;Collège Édouard-Montpetit (de Gentilly / de Normandie)
0;0;0;0;0;0;0;652;1073;876;377;0;Complexe sportif Claude Robillard (Émile-Journault)
0;0;0;348;1359;996;608;645;727;612;218;0;Complexe sportif Claude-Robillard
0;0;0;2183;7206;5753;8777;8760;8744;8170;3473;0;Crescent / de Maisonneuve
0;0;0;1268;4961;4770;3577;3708;3821;2023;0;0;Crescent / René-Lévesque
0;0;0;817;3065;3784;3380;2675;3189;2705;1236;0;Cypress / Peel
0;0;0;0;0;0;0;1379;2603;1915;924;0;CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville)
0;0;0;100;180;268;275;291;380;263;106;0;Cégep André-Laurendeau
0;0;0;119;371;352;350;644;578;514;201;0;Cégep André-Laurendeau (Lapierre)
0;0;0;71;168;135;113;129;162;122;70;0;Cégep Marie-Victorin
0;0;0;0;0;0;0;0;0;191;79;0;d'Iberville / Fleury
0;0;0;0;277;777;1014;1046;1060;604;268;0;d'Orléans / du Mont-Royal
0;0;0;559;1722;1893;2205;2256;2152;1595;580;0;d'Orléans / Hochelaga
0;0;0;782;2458;2938;3308;3349;3008;2680;1046;0;d'Orléans / Masson
0;0;0;388;1398;1626;1787;1822;1525;1270;491;0;d'Outremont / Ogilvy
0;0;0;0;0;0;0;858;900;789;263;0;Dandurand / de Lorimier
0;0;0;0;0;0;292;73;0;0;0;0;Dandurand / des Érables
0;0;0;0;0;0;0;895;916;819;287;0;Darling / Sherbrooke
0;0;0;468;1151;1178;1215;1236;1327;1138;480;0;Davaar / de la Côte-Ste-Catherine
0;0;0;749;3162;3523;4021;4039;3778;3336;1227;0;de Bellechasse / de St-Vallier
0;0;0;0;0;0;0;0;353;733;262;0;de Bellechasse / Pie-IX
0;0;0;68;153;144;161;212;205;65;0;0;de Belleville / Fleury
0;0;0;882;3317;3836;3889;3861;3952;3338;1341;0;de Bleury / de Maisonneuve
0;0;0;1041;2814;3059;3316;3028;3002;2945;1279;0;de Bordeaux / Gilford
0;0;0;776;1982;1944;1854;2177;1987;1606;591;0;de Bordeaux / Jean-Talon
0;0;0;1113;3043;3419;3325;3595;3919;3238;1313;0;de Bordeaux / Marie-Anne
0;0;0;1020;2872;3088;3262;3693;3718;3450;1390;0;de Bordeaux / Masson
0;0;0;922;3866;4323;4637;2160;1722;1501;622;0;de Bordeaux / Sherbrooke
0;0;0;684;1843;2064;2375;2559;2311;1942;768;0;de Bordeaux / St-Zotique
0;0;0;2992;8353;10083;11342;11827;9992;8181;3189;0;de Brébeuf / du Mont-Royal
0;0;0;0;0;0;0;0;1112;1841;714;0;de Brébeuf / Gilford
0;0;0;1321;3636;4316;4350;4818;4457;3800;1421;0;de Bullion / du Mont-Royal
0;0;0;953;3080;3566;4264;3965;2741;2719;1214;0;de Bullion / St-Joseph
0;0;0;284;1754;2120;2298;2505;2262;1926;725;0;de Castelnau / Lajeunesse
0;0;0;0;0;0;0;0;118;285;164;0;de Chambly / de Rouen
0;0;0;859;2508;2386;2671;2760;2418;2013;810;0;de Chambly / Rachel
0;0;0;540;1255;1617;1921;2087;1954;1677;688;0;de Champlain / Ontario
0;0;0;443;1506;1617;1907;2073;1810;1433;545;0;de Chateaubriand / Jarry
0;0;0;258;621;788;812;830;786;541;168;0;de Chateaubriand / Leman
0;0;0;0;0;0;0;61;47;34;6;0;de Chenonceau / Chomedey
0;0;0;0;0;0;727;844;695;535;182;0;de Châteauguay / Ropery
0;0;0;106;325;243;263;438;363;279;110;0;de Côme / Jean-Talon
0;0;0;1238;3466;3935;4532;4895;4266;3600;1411;0;de Gaspé / Beaubien
0;0;0;589;1918;2041;2532;2740;2262;1815;312;0;de Gaspé / Dante
0;0;0;525;1519;1824;1970;2099;1886;1513;622;0;de Gaspé / de Liège
0;0;0;903;2252;2366;2558;2979;3101;2909;1132;0;de Gaspé / Fairmount
0;0;0;534;1724;1934;1983;2068;1919;1478;500;0;de Gaspé / Jarry
0;0;0;464;1201;1410;1424;1519;1356;777;312;0;de Gaspé / Marmier
0;0;0;911;2320;2770;2689;2638;1835;1612;756;0;de Gaspé / St-Viateur
0;0;0;816;2425;2723;2867;3234;2871;2225;874;0;de Gaspé / Villeray
0;0;0;0;0;0;0;2;46;46;19;0;de Grenoble / de Cassis
0;0;0;112;201;0;0;0;0;0;0;0;de Grosbois / Ducheneau
0;0;0;71;294;538;606;545;473;369;182;0;de Grosbois / Duchesneau
0;0;0;291;918;1086;1193;1360;1288;968;340;0;de Hampton / de Monkland
0;0;0;781;3171;3958;4230;4515;4035;2744;956;0;de Kent / de la Côte-des-Neiges
0;0;0;136;491;766;831;240;0;0;0;0;de Kent / Victoria
0;0;0;193;685;771;406;391;327;320;149;0;de l'Eglise / St-Germain
0;0;0;1580;5985;6545;6999;6813;7306;5555;1953;0;de l'Esplanade / du Mont-Royal
0;0;0;2008;5603;6273;7402;7557;7752;6197;2404;0;de l'Esplanade / Fairmount
0;0;0;0;1828;2047;2040;1518;1592;1269;550;0;de l'Hôtel-de-Ville / Ontario
0;0;0;968;3064;3722;3831;4365;4589;3817;1524;0;de l'Hôtel-de-Ville / Roy
0;0;0;1145;3809;3462;4139;4469;4810;3988;1576;0;de l'Hôtel-de-Ville / Sherbrooke
0;0;0;0;0;0;0;0;791;0;0;0;de l'Hôtel-de-Ville / St-Joseph
0;0;0;880;2822;3436;3947;3593;4117;2928;1101;0;de l'Hôtel-de-Ville / Ste-Catherine
0;0;0;0;0;0;0;0;0;1858;730;0;de l'Hôtel-de-Ville / Villeneuve
0;0;0;647;1998;2177;2497;2466;1963;1440;540;0;de l'Église / Bannantyne
0;0;0;664;1861;2152;2402;2347;1908;1284;485;0;de l'Église / de Verdun
0;0;0;530;1822;2388;2019;2494;2301;1897;478;0;de la Cathédrale / René-Lévesque
0;0;0;1827;6626;7434;10163;9031;6331;4218;1361;0;de la Commune / Berri
0;0;0;0;2333;210;0;0;0;0;0;0;De la Commune / King
0;0;0;993;5026;8387;11077;9726;7501;4897;1775;0;de la Commune / King (2)
0;0;0;2603;9930;11518;15194;13581;8934;5030;1468;0;de la Commune / Place Jacques-Cartier
0;0;0;2301;8697;9904;12306;11773;8171;5230;1758;0;de la Commune / St-Sulpice
0;0;0;408;1505;1617;1392;1508;1678;1417;528;0;de la Côte St-Antoine / Argyle
0;0;0;394;1351;1582;1725;1859;1726;1369;473;0;de la Côte St-Antoine / Royal
0;0;0;861;2917;3320;3949;3525;2937;1932;689;0;de la Côte St-Paul / St-Ambroise
0;0;0;461;1662;2091;2191;2181;2394;1886;838;0;de la Gauchetière / Robert-Bourassa
0;0;0;532;1496;1828;1834;2057;1415;1319;668;0;de la Montagne / Sherbrooke
0;0;0;674;3167;2994;2759;2726;2765;265;0;0;de la Montagne/ Sherbrooke
0;0;0;272;1240;1155;1081;1224;1467;837;279;0;de la Peltrie / de la Côte-des-Neiges
0;0;0;119;0;0;0;0;0;0;0;0;de la Pépinière / Pierre-de-Coubertin
0;0;0;1043;3153;3627;3438;3620;3422;2771;1079;0;de la Roche /  de Bellechasse
0;0;0;1004;2943;3430;3587;3697;3449;2929;1179;0;de la Roche / Bélanger
0;0;0;512;1693;1782;1861;1824;1692;1302;510;0;de la Roche / Everett
0;0;0;0;0;0;0;0;1491;2099;798;0;de la Roche / Marie-Anne
0;0;0;0;138;0;0;0;0;0;0;0;de la Rotonde / Jacques-Le Ber
0;0;0;210;597;713;733;865;886;642;191;0;de la Salle / Hochelaga
0;0;0;0;0;0;417;1225;1100;903;358;0;de la Salle / Ontario
0;0;0;276;600;726;869;155;0;0;0;0;de la Salle / Ste-Catherine
0;0;0;914;2935;2948;3283;3231;2949;2322;790;0;de Lanaudière / Bélanger
0;0;0;0;1424;188;0;0;0;0;0;0;De Lanaudière / du Mont-Royal
0;0;0;675;3455;6675;8506;9172;8511;7035;2528;0;de Lanaudière / du Mont-Royal (2)
